Customer_ID,Age,Gender,Purchase_Count,Average_Spending,Product_Category,Visit_Frequency,Last_Visit,Customer_Loyalty_Score
69,38,Other,3,3.9253271636996607,Electronics,2,19,3
70,20,Male,9,26.59338335746923,Electronics,3,3,4
71,28,Male,5,102.11054637097095,Books,2,29,7
72,47,Male,10,537.5102418529523,Books,0,24,3
73,42,Female,0,416.9188357376091,Toys,2,4,4
74,45,Female,2,19.755469237309047,Electronics,1,19,2
75,62,Male,8,100.86484856923946,Books,1,12,6
76,42,Female,8,3.2405926644294447,Toys,4,27,6
77,34,Other,8,97.74932128823919,Fashion,3,21,2
78,40,Male,3,4.723279153513358,Home,2,11,2
79,53,Female,2,104.82620319129958,Electronics,2,10,1
80,62,Female,5,442.75039254038944,Electronics,1,17,7
81,56,Female,2,219.780061110333,Electronics,0,14,1
82,19,Female,3,4.910152951817362,Fashion,3,15,8
83,28,Male,6,135.68687092319198,Toys,2,10,4
84,29,Other,5,174.8170359033204,Books,3,16,6
85,21,Female,3,146.7385334212247,Toys,1,12,2
86,38,Male,2,112.7849258508815,Fashion,1,18,9
87,55,Other,3,107.27369787828691,Fashion,1,23,7
88,22,Female,4,75.27589992101909,Electronics,2,20,2
89,19,Other,2,74.41723416816815,Toys,1,24,4
90,52,Other,12,0.11775253067811266,Books,3,8,2
91,52,Male,4,156.15567843363945,Home,1,12,7
92,43,Male,7,211.67161304480828,Fashion,3,19,9
93,31,Female,4,171.03098520359657,Electronics,2,11,6
94,58,Female,8,244.12175923648624,Toys,1,9,3
95,40,Female,2,160.36589634976656,Electronics,2,1,4
96,50,Other,3,57.43328149397918,Toys,2,28,6
97,30,Male,5,61.35951443015074,Toys,2,24,6
98,42,Female,7,55.94838702548384,Toys,2,5,7
99,35,Female,4,19.831119078219704,Fashion,2,29,6
100,38,Female,7,15.191511824898072,Toys,2,18,2
101,55,Other,6,155.4237826057731,Electronics,0,26,7
102,42,Female,4,210.44300799865758,Home,3,24,9
103,29,Other,6,145.69596233228347,Electronics,2,1,8
104,48,Female,4,124.6168807063343,Fashion,3,14,6
105,29,Male,3,42.33685855380337,Books,0,17,1
106,48,Female,6,104.01596001428351,Electronics,1,6,3
107,20,Other,4,8.997702798073014,Home,4,29,3
108,51,Female,7,41.483402367746535,Electronics,2,25,1
109,44,Other,4,152.7837881324922,Electronics,1,11,2
110,64,Other,4,13.003684686633848,Home,0,29,1
111,38,Female,2,2.59824820761719,Home,3,21,2
112,38,Other,6,111.55562606359031,Fashion,3,2,8
113,18,Other,6,103.49664249853703,Fashion,0,26,1
114,46,Other,5,10.658670683143962,Toys,3,7,2
115,32,Female,6,105.81087377999697,Toys,1,26,8
116,47,Female,5,232.2717518372198,Fashion,3,25,5
117,22,Male,2,20.38833313098157,Electronics,2,29,4
118,40,Female,3,16.76369277811699,Home,1,10,2
119,63,Female,2,12.062747554874043,Electronics,2,19,4
120,55,Female,5,263.81771991149924,Toys,2,22,2
121,19,Other,3,63.72076359703269,Books,1,17,8
122,21,Male,5,10.995991499903566,Books,1,12,3
123,19,Female,5,118.67985928533349,Books,1,13,9
124,43,Male,2,38.341194756091014,Fashion,4,15,4
125,50,Male,0,112.75767716826562,Fashion,2,10,6
126,64,Other,2,173.19681899934355,Home,1,4,7
127,45,Female,8,70.2346123763716,Books,2,23,9
128,20,Male,9,188.2457638419228,Fashion,2,11,1
129,47,Female,3,46.441075979540344,Electronics,2,9,6
130,56,Female,2,7.500834829259355,Home,1,29,8
131,26,Female,3,25.889848888633928,Toys,1,19,7
132,37,Other,6,574.6172303891786,Electronics,2,14,3
133,57,Male,4,83.59042546071235,Home,2,1,9
134,34,Female,3,18.568951327575576,Fashion,3,29,9
135,58,Male,5,99.90753556763956,Home,3,7,5
136,37,Male,3,149.34734246585285,Electronics,0,23,9
137,31,Other,5,46.0248384944483,Electronics,1,4,1
138,31,Other,1,15.147281131976326,Home,3,21,1
139,60,Other,6,0.0682928195984992,Home,1,12,2
140,20,Female,3,299.2539355685496,Books,1,22,3
141,27,Other,10,77.06906765281488,Home,2,14,6
142,20,Female,4,83.23634547932353,Toys,2,18,9
143,31,Male,5,236.77847480759416,Books,3,25,5
144,26,Female,4,99.53806960551667,Fashion,2,3,2
145,50,Other,2,19.94670887412126,Electronics,0,5,2
146,50,Female,5,83.28748008180344,Electronics,0,22,7
147,33,Male,2,157.03548404434576,Books,1,16,2
148,24,Other,6,62.36179341144238,Books,4,25,6
149,37,Female,7,39.123970658869126,Toys,3,16,9
150,45,Female,5,150.94445824595027,Books,1,13,7
151,61,Other,4,27.623849623782686,Toys,2,19,4
152,47,Female,10,18.943538869105094,Fashion,2,16,8
153,43,Female,3,38.050563025837036,Toys,0,22,9
154,56,Male,7,22.29233797503112,Books,0,17,2
155,43,Male,3,188.8599457114695,Toys,1,9,1
156,56,Other,1,140.81269466655237,Home,5,20,3
157,27,Other,5,44.52108821044539,Toys,2,26,2
158,55,Female,9,144.68706352970898,Toys,0,23,2
159,35,Male,2,1.459315062947147,Home,1,13,6
160,45,Male,4,142.76292937950498,Electronics,1,20,7
161,58,Male,5,137.7686247857605,Fashion,2,3,7
162,25,Male,6,44.61527630402255,Fashion,1,19,5
163,57,Female,3,30.69159449342048,Books,1,18,2
164,21,Other,7,61.87713500806695,Home,3,29,7
165,32,Other,5,46.94881257238288,Fashion,2,8,1
166,38,Female,6,26.38467153113739,Toys,1,17,1
167,32,Male,2,6.9212242597264995,Home,3,22,8
168,63,Other,5,204.42807155925698,Toys,2,29,1
169,29,Male,5,0.37841985327957955,Toys,3,8,2
170,22,Female,6,100.54389692698497,Electronics,1,17,4
171,20,Male,5,194.67627579138878,Books,3,15,1
172,24,Female,2,61.20912803694459,Books,2,21,3
173,27,Female,3,130.8919695603384,Home,1,13,1
174,19,Female,1,57.66014414155119,Toys,2,18,4
175,28,Female,7,307.893039245541,Electronics,0,28,6
176,51,Female,5,20.41627621119159,Electronics,2,25,8
177,62,Other,7,271.900345680129,Books,1,15,6
178,38,Female,3,58.41361505973764,Fashion,1,29,8
179,20,Male,5,30.19098227703303,Fashion,1,16,5
180,59,Female,7,93.61758319688543,Fashion,2,5,8
181,40,Other,7,51.73058621032435,Fashion,2,13,4
182,29,Male,4,50.73427905304526,Toys,0,19,5
183,50,Other,8,85.13666230879508,Fashion,1,3,9
184,21,Male,6,35.871789254677516,Fashion,5,16,3
185,23,Other,5,7.847766912448703,Electronics,0,20,1
186,39,Other,6,26.91321262363039,Books,3,18,8
187,26,Other,4,433.82492985795375,Home,4,15,6
188,49,Female,3,38.39015390712247,Fashion,4,14,6
189,18,Other,12,31.48675111348703,Books,0,19,9
190,55,Male,8,72.33475779737313,Electronics,1,11,7
191,60,Male,6,309.60561606941485,Books,1,21,1
192,53,Male,5,60.33430797255945,Home,2,1,5
193,22,Female,8,268.7629374850696,Electronics,4,23,2
194,52,Female,7,60.20488101848018,Electronics,3,28,7
195,63,Female,5,26.41945958169124,Electronics,1,21,6
196,37,Male,4,175.78738530850052,Fashion,5,14,9
197,47,Male,6,7.442759004325432,Toys,2,6,6
198,18,Female,7,68.64898277846677,Electronics,3,26,8
199,64,Male,1,138.7103769427223,Home,2,5,9
200,53,Male,2,62.878119630306614,Electronics,2,20,2
201,44,Male,8,121.29791653923252,Toys,3,9,5
202,32,Female,1,182.39464003973666,Toys,0,21,6
203,19,Other,4,44.993426030280766,Books,2,21,3
204,26,Other,10,265.9404025457116,Electronics,3,18,5
205,57,Other,5,140.54405096160815,Fashion,4,29,9
206,49,Female,7,52.31768447968284,Electronics,2,29,5
207,22,Other,2,19.69192670833118,Toys,1,24,6
208,52,Male,7,305.9300068507372,Toys,1,24,6
209,26,Other,4,61.210279950888555,Home,3,10,6
210,64,Female,2,94.24757397285953,Home,1,26,4
211,25,Male,3,25.033119974862412,Books,0,13,2
212,20,Other,6,373.5594684922914,Books,1,7,2
213,20,Male,6,220.3804065128688,Electronics,1,23,7
214,20,Male,7,27.179212613747445,Electronics,2,8,9
215,50,Other,4,222.63209810684694,Home,1,2,5
216,36,Female,13,96.84442523724324,Toys,2,19,9
217,49,Female,6,54.519544334233096,Books,0,16,8
218,47,Female,5,92.54937512176045,Home,2,5,9
219,60,Male,7,113.75126558651975,Home,5,27,7
220,32,Male,3,143.4466652386459,Books,3,23,2
221,47,Female,2,265.03565586290057,Fashion,0,20,5
222,25,Female,3,87.6165176252567,Toys,2,24,1
223,21,Male,2,34.03134266419441,Electronics,2,18,6
224,20,Female,5,22.621862013808613,Books,4,8,9
225,46,Male,3,265.25707551214805,Fashion,1,7,8
226,39,Female,2,170.97880700578318,Books,2,25,8
227,60,Male,5,52.71158074880425,Electronics,2,13,6
228,41,Male,4,20.72933979861162,Electronics,3,11,6
229,24,Female,6,100.4436382550922,Books,0,7,5
230,59,Male,7,520.5979046014336,Home,0,20,7
231,29,Female,4,9.798798252484987,Fashion,1,20,8
232,53,Male,7,160.91541946370856,Toys,1,12,8
233,20,Other,9,45.914696395895184,Toys,4,3,3
234,30,Other,1,93.2708235500794,Electronics,1,4,4
235,49,Male,2,97.81577486417497,Electronics,0,13,1
236,26,Male,2,8.06096851043357,Electronics,1,18,4
237,47,Female,8,6.539440591483009,Toys,0,9,9
238,48,Female,2,29.74905236429909,Electronics,2,17,2
239,60,Male,6,154.31778005110732,Home,5,4,6
240,23,Female,4,149.35496258776766,Books,3,27,4
241,29,Female,7,28.874391653977177,Toys,1,29,3
242,40,Other,8,127.12564697709242,Books,2,25,5
243,64,Male,4,17.035101940071147,Books,0,22,2
244,33,Male,6,272.6999475758266,Electronics,2,27,9
245,33,Other,4,18.523736427111274,Home,2,12,4
246,38,Female,6,159.92144153421316,Electronics,3,1,8
247,53,Other,0,139.70400808646758,Toys,1,16,5
248,31,Male,5,156.75472704605556,Books,2,18,6
249,23,Male,5,53.32883917680968,Home,2,12,8
250,25,Male,7,51.8077431816763,Home,3,22,3
251,18,Male,6,34.50424493788275,Books,3,3,9
252,37,Other,8,44.812034815320246,Electronics,0,25,8
253,43,Other,5,15.750316545507353,Electronics,0,29,4
254,25,Male,4,86.86847791244138,Electronics,1,5,6
255,23,Female,5,14.227559713174864,Books,2,17,8
256,23,Male,4,100.2305115154823,Electronics,1,16,3
257,58,Male,7,194.4370512373191,Toys,2,28,1
258,44,Other,3,16.973439845441362,Electronics,1,13,3
259,34,Male,4,228.47944612984236,Books,1,5,4
260,46,Other,8,56.640832422828005,Books,4,1,9
261,38,Female,4,162.96878348182494,Fashion,2,2,6
262,21,Male,6,64.3192503477952,Books,2,18,1
263,19,Other,3,44.28743821747975,Home,1,16,1
264,54,Female,5,13.644601200312298,Books,0,25,9
265,37,Female,7,96.26677468850204,Fashion,2,11,6
266,18,Male,4,47.591647003558876,Toys,2,20,6
267,26,Female,4,5.631148591500387,Electronics,1,26,9
268,48,Male,7,14.545780019954172,Fashion,0,22,4
269,21,Female,9,33.99031143122049,Electronics,2,29,6
270,21,Female,4,57.51367840650933,Electronics,2,23,2
271,62,Male,7,2.238364471936546,Books,5,9,7
272,24,Other,9,462.6306220337825,Books,2,28,1
273,56,Other,8,35.12531657978106,Electronics,0,25,9
274,41,Female,7,12.377630972757009,Books,2,27,3
275,32,Other,3,15.970171562552373,Home,3,21,4
276,34,Other,4,235.10019881744282,Fashion,4,13,2
277,51,Other,4,140.1767151370858,Home,3,15,5
278,48,Female,1,123.02198285312231,Home,3,27,1
279,26,Male,3,83.02629800718955,Electronics,5,11,8
280,45,Female,4,2.833031230582965,Home,2,12,1
281,22,Other,6,36.9659971132246,Electronics,1,17,7
282,56,Other,7,574.3855603197693,Toys,1,3,7
283,50,Female,8,21.843884245927246,Fashion,2,17,2
284,48,Other,3,186.962816855763,Toys,1,14,4
285,20,Female,4,118.79366703965066,Toys,1,13,8
286,20,Other,4,4.249182199595506,Toys,1,26,6
287,55,Male,4,238.9597012415103,Books,0,7,5
288,18,Other,6,15.939742865445295,Home,3,21,4
289,30,Female,5,35.211132432054306,Books,1,3,7
290,26,Female,3,18.881059097998413,Books,2,22,9
291,22,Other,1,22.804044090423975,Books,0,10,6
292,24,Female,6,157.6378258357194,Electronics,5,27,9
293,64,Other,3,33.9335199555843,Toys,1,3,3
294,24,Male,6,89.16677415518625,Toys,1,22,8
295,19,Other,4,108.52555617525309,Home,6,8,3
296,18,Other,8,163.95651964345586,Books,3,19,7
297,19,Male,7,66.50624778535116,Books,5,14,1
298,56,Male,10,57.797701988833,Toys,2,7,8
299,47,Male,4,24.19216116484017,Books,3,26,5
300,57,Other,6,6.043602517393503,Fashion,2,9,7
301,42,Other,5,45.086107966304255,Fashion,4,22,3
302,34,Male,5,11.116604845927833,Toys,2,23,8
303,54,Other,4,42.24993060976136,Home,2,11,1
304,22,Other,0,10.8924380614866,Toys,2,6,5
305,22,Other,5,96.26542346945209,Fashion,2,11,1
306,56,Other,7,125.8563928700974,Fashion,4,27,4
307,40,Other,3,47.49718817425188,Home,3,1,9
308,57,Male,6,332.5196169453185,Books,2,1,7
309,34,Male,5,134.82846716884177,Home,2,16,6
310,34,Female,5,790.6124050540295,Fashion,4,28,2
311,62,Other,3,24.776108183274385,Books,3,10,6
312,22,Other,4,49.68137600958021,Books,2,26,8
313,44,Male,5,23.450248367936,Toys,3,25,4
314,56,Female,6,7.028016643356973,Home,1,12,1
315,33,Other,7,5.936640082957776,Electronics,3,19,3
316,63,Other,7,47.877804801225295,Fashion,3,24,1
317,19,Male,11,146.70228979596573,Fashion,1,12,9
318,59,Male,6,211.8922181292433,Fashion,2,29,5
319,60,Other,3,45.79964622072069,Toys,1,26,8
320,56,Male,2,58.68807826760597,Books,5,15,1
321,22,Female,4,150.0490355861394,Home,4,3,6
322,28,Male,5,178.3358550523458,Electronics,1,22,8
323,19,Male,4,77.57303450915798,Toys,0,26,5
324,48,Other,1,38.30623666256494,Fashion,1,18,6
325,18,Female,4,358.8220832437075,Home,3,25,9
326,33,Other,4,6.218660969055922,Home,2,25,8
327,50,Other,7,145.67614910990335,Toys,0,28,5
328,35,Male,3,57.96879233853329,Books,3,27,1
329,45,Female,7,154.8059734022554,Toys,5,3,6
330,51,Female,7,1.8584246493497536,Fashion,2,22,9
331,40,Female,9,99.21877391400852,Books,0,18,4
332,50,Female,7,151.18670940067932,Fashion,2,26,4
333,28,Male,7,59.179411461937,Home,4,18,4
334,58,Other,6,112.99693651656466,Electronics,1,27,3
335,51,Male,5,232.20472855537304,Books,2,12,6
336,21,Other,3,166.27014524962675,Books,4,19,5
337,32,Male,3,113.37966190781634,Fashion,3,25,3
338,36,Male,7,83.53080865374602,Toys,2,27,2
339,45,Male,7,31.832238282419695,Books,3,15,2
340,45,Other,4,75.52267606638311,Fashion,1,23,7
341,28,Female,5,84.36994529748033,Fashion,3,28,6
342,24,Male,3,124.91365632338076,Home,3,17,2
343,54,Other,2,28.46992692452507,Toys,1,14,6
344,35,Other,6,216.65548811215473,Fashion,3,14,7
345,32,Female,4,9.001850532802523,Toys,0,15,6
346,35,Male,9,117.11929808848338,Home,1,14,4
347,27,Male,5,49.359644056525184,Home,1,24,9
348,45,Other,5,162.78674772307912,Toys,1,20,2
349,29,Other,5,135.4832046297491,Home,1,17,2
350,57,Female,3,190.77696242923614,Toys,2,17,8
351,62,Male,3,44.96231123821872,Home,2,16,6
352,33,Male,4,116.3917700809737,Toys,1,20,5
353,47,Other,7,215.65100798773585,Books,2,23,8
354,52,Other,7,422.4257908765788,Home,5,20,5
355,20,Female,5,169.65714127444448,Home,2,10,4
356,35,Male,3,34.747085500010485,Toys,1,29,7
357,28,Other,11,24.158572734120796,Books,3,27,2
358,53,Male,4,68.91004514077022,Electronics,2,22,5
359,59,Other,3,227.76198681530485,Toys,5,24,3
360,20,Other,8,96.0231272812879,Fashion,2,10,8
361,25,Other,3,47.218811894906956,Home,2,20,7
362,19,Female,3,160.9221827594222,Fashion,3,2,8
363,34,Female,3,23.93987131568759,Toys,1,6,7
364,18,Female,5,173.75933715637987,Toys,1,10,2
365,32,Female,6,47.17011786709063,Toys,2,1,1
366,27,Male,0,174.09304270132697,Fashion,6,18,9
367,34,Other,4,87.29259904384486,Toys,2,13,1
368,20,Other,5,349.257088519539,Fashion,3,15,7
369,61,Female,6,77.73769779013278,Home,2,14,1
370,45,Other,6,10.553652298198994,Home,5,16,6
371,34,Female,8,52.713290853462844,Fashion,4,19,3
372,51,Other,8,72.67903050634253,Books,1,3,6
373,57,Female,5,18.17374451625132,Books,2,17,6
374,21,Male,5,12.886113933448822,Books,1,23,4
375,36,Male,7,11.92228428498936,Fashion,1,25,4
376,32,Male,8,33.03602601873162,Fashion,0,18,4
377,42,Female,6,67.1349630609442,Toys,5,13,1
378,61,Other,1,24.681406108156985,Home,0,28,8
379,33,Other,4,316.2509244327105,Books,3,15,6
380,47,Female,3,6.760783902846049,Fashion,1,1,1
381,52,Female,4,111.9374713365991,Toys,4,28,5
382,64,Other,3,203.8333083879047,Books,3,27,2
383,40,Male,4,3.129830957876909,Fashion,3,11,5
384,31,Female,5,101.66202495821463,Electronics,2,5,3
385,30,Male,6,114.47427863123028,Fashion,1,9,8
386,46,Female,10,15.135735914107313,Fashion,3,29,2
387,41,Female,2,32.326551519473384,Home,2,7,2
388,60,Male,5,70.5107642631458,Fashion,2,27,8
389,42,Other,1,102.90950507308672,Books,4,15,6
390,35,Other,5,88.29489800919288,Fashion,2,21,8
391,21,Male,8,62.09889894966681,Electronics,4,16,5
392,47,Female,1,45.55653280076072,Fashion,1,14,4
393,29,Female,4,175.72927025466322,Home,0,14,5
394,45,Male,6,17.947500087891648,Electronics,1,11,2
395,38,Male,1,104.22644923875126,Electronics,6,14,4
396,43,Other,7,49.505895167461944,Fashion,5,7,5
397,39,Other,2,38.79654867757399,Electronics,0,6,6
398,58,Female,6,290.3527964046098,Books,5,9,5
399,35,Other,4,66.4915126130975,Home,1,14,8
400,47,Male,3,155.80655310546524,Electronics,0,2,6
401,26,Other,7,160.31573132298544,Toys,1,15,3
402,64,Male,9,185.7175291458747,Toys,0,3,3
403,38,Other,5,321.5524675623632,Toys,3,23,9
404,46,Female,5,0.04131738977380115,Toys,3,25,9
405,54,Other,1,53.10361462674127,Electronics,2,23,3
406,51,Other,3,129.5079662349666,Fashion,0,14,9
407,58,Male,5,130.0213125367465,Books,5,27,2
408,52,Male,4,5.576907014072632,Toys,2,9,9
409,37,Male,6,56.16884274098369,Books,2,18,9
410,18,Female,3,122.98622590246933,Books,0,6,1
411,49,Female,6,275.5464268921012,Home,2,22,6
412,34,Other,1,87.8880830112898,Fashion,4,22,1
413,38,Male,6,19.11160720411319,Toys,6,4,7
414,43,Other,10,21.276532660932947,Electronics,2,10,9
415,50,Male,4,247.10191827580155,Home,2,6,1
416,54,Other,6,0.40435656579559076,Toys,2,5,1
417,45,Female,3,63.99691643493627,Fashion,2,13,6
418,45,Male,4,315.90482750118053,Electronics,2,17,2
419,31,Female,8,176.6723898115329,Electronics,4,24,2
420,50,Female,4,116.23761394248405,Toys,0,27,8
421,44,Female,5,31.172877410206112,Fashion,1,25,3
422,49,Other,5,159.54871640119478,Electronics,1,23,3
423,37,Other,3,185.49008818110374,Fashion,3,23,3
424,29,Other,4,117.40843057675467,Books,3,5,6
425,57,Female,9,44.890190269436694,Home,1,9,3
426,22,Other,5,17.943717337406177,Electronics,0,10,8
427,47,Female,8,122.81739178491964,Fashion,3,14,9
428,56,Other,6,179.08627674510004,Home,1,7,7
429,44,Female,6,158.23209366625818,Home,2,14,9
430,39,Female,7,27.44371735162462,Electronics,0,20,5
431,26,Male,2,165.82017821508535,Home,4,22,8
432,47,Male,2,71.02647537390033,Home,1,28,3
433,47,Female,0,94.27923443940207,Fashion,2,13,2
434,48,Female,5,123.91430399978998,Toys,1,11,5
435,23,Male,2,6.070165331218982,Home,3,20,3
436,53,Other,2,8.401886828388593,Home,1,16,1
437,20,Other,3,180.14414980325043,Books,1,18,4
438,30,Male,8,19.684768538836543,Fashion,2,20,4
439,26,Other,2,25.532574927842344,Books,2,26,4
440,23,Female,2,30.184942589044383,Books,1,8,5
441,49,Male,4,66.43874560349138,Fashion,0,4,7
442,48,Female,4,107.30766157069216,Fashion,2,18,1
443,39,Female,10,157.2372051120645,Toys,0,25,9
444,48,Male,5,158.6838424037301,Home,0,9,8
445,42,Female,3,169.5159375295456,Electronics,3,26,3
446,48,Male,5,256.8319242326472,Fashion,1,11,1
447,35,Male,4,507.70061754593183,Books,1,10,8
448,52,Female,2,58.39689363520475,Home,3,10,8
449,38,Male,3,76.84341402756051,Books,2,8,8
450,49,Male,3,78.76809861417368,Toys,3,26,6
451,62,Male,3,153.6155883524623,Electronics,3,2,4
452,19,Male,6,12.727248881971926,Home,1,20,1
453,39,Other,5,10.609958881603228,Home,3,29,3
454,47,Female,5,53.55064698206486,Toys,2,7,2
455,59,Other,4,90.3062120306587,Books,0,6,6
456,34,Male,7,6.228090405000867,Toys,3,2,6
457,33,Other,3,67.90886253730123,Fashion,2,5,3
458,48,Female,3,8.991717285237586,Electronics,1,24,9
459,54,Female,8,26.295884640615935,Books,0,5,3
460,60,Other,4,36.21723635027709,Electronics,4,25,5
461,60,Other,5,76.06931671383389,Fashion,3,13,9
462,27,Male,6,16.98369607213969,Electronics,0,26,5
463,36,Other,6,45.61568071971702,Electronics,1,10,3
464,20,Female,6,8.8396365161927,Books,2,21,6
465,29,Male,4,46.1567493843791,Fashion,2,6,9
466,63,Male,4,7.827967192372048,Electronics,2,8,4
467,51,Male,4,41.74534653140808,Toys,4,16,3
468,36,Male,4,177.54204909410595,Toys,3,12,8
469,44,Other,5,92.01414767075947,Books,1,2,9
470,40,Female,5,31.911079902292034,Home,0,9,9
471,19,Male,1,83.07572682987951,Electronics,1,13,8
472,49,Male,10,33.97116258949002,Home,0,22,7
473,18,Male,8,68.0621254212806,Fashion,1,12,7
474,52,Female,6,95.53822618765496,Electronics,3,4,4
475,46,Other,7,68.62470317198056,Home,1,19,1
476,22,Female,6,43.16184464866188,Toys,2,17,6
477,24,Female,5,25.859064017018184,Home,2,6,8
478,37,Male,3,224.90089296735204,Electronics,1,4,3
479,57,Other,5,54.98999499294824,Home,1,3,3
480,18,Female,8,44.17813987058942,Electronics,3,15,9
481,19,Male,4,80.80157331899187,Toys,3,6,5
482,24,Other,7,149.25552314964645,Books,1,13,3
483,34,Other,5,61.05067167222632,Toys,2,12,1
484,49,Other,8,84.77975883760946,Electronics,3,22,6
485,29,Female,5,21.410369894529317,Fashion,3,3,9
486,59,Other,7,642.0576268119224,Electronics,3,25,7
487,57,Male,2,58.43620419743962,Books,1,18,3
488,58,Female,7,32.60403350693586,Toys,0,14,5
489,36,Male,8,38.0830362426509,Books,3,11,1
490,62,Male,5,116.66327336282909,Fashion,1,9,2
491,54,Female,7,89.83822928213077,Fashion,1,6,1
492,27,Other,5,192.00841411813724,Home,2,9,6
493,48,Female,9,49.74674127428626,Fashion,1,16,4
494,24,Male,2,5.38789553657512,Electronics,2,16,5
495,23,Female,4,128.73034688548077,Toys,5,5,1
496,56,Male,3,196.9955037280815,Toys,0,2,8
497,25,Other,5,56.64557959752816,Fashion,1,1,1
498,62,Female,6,257.26331962952275,Fashion,4,25,2
499,59,Female,8,8.369718149158063,Fashion,5,1,1
500,32,Female,7,140.38486318994876,Electronics,1,18,5
501,60,Other,7,49.07864121187672,Books,4,17,5
502,20,Female,7,47.32749346901543,Electronics,6,24,9
503,44,Male,3,84.54919436461277,Fashion,0,14,1
504,50,Female,4,35.34279115570443,Toys,2,4,4
505,58,Female,5,325.2286971525372,Home,2,22,6
506,46,Other,5,186.5424003747541,Fashion,3,9,4
507,40,Other,9,127.19542752917062,Toys,3,26,1
508,57,Male,9,45.52385702309946,Fashion,2,9,9
509,53,Male,3,78.52358919414358,Books,2,18,8
510,52,Female,12,9.876480314980558,Fashion,2,7,6
511,56,Male,10,113.25440842565844,Books,3,23,9
512,63,Female,5,70.72222142531446,Fashion,3,12,5
513,45,Other,2,8.265520247642911,Toys,0,6,5
